Lamp,Water,Water-BKG,Lamp,Ethanol,Ethanol-BKG,Ethanol,Ethanol,Acetone,Acetone-BKG,Acetone Daiso,Propanol,Propanol-BKG,Phosphoric Acid,Phosphoric-BKG,Sulfuric Acid,Sulfuric-BKG,Sulfuric Acid,Nitric Acid,Nitric-BKG,Nitric Acid,HCL Acid,HCL-BKG,HCL Acid,Nitric Acid,Nitric-BKG,Citric Acid,Citric-BKG,Potassium Hydroxide,Potassium-BKG,Sodium Hydroxide,Sodium-BKG,Sodium Hydroxide,Strontium Disulfide,Strontium-BKG,BKG Bottle,Water,Water-BKG
2043,4504,238,1408,4330,64,4922,5278,3714,-552,1664,4575,309,4547,281,5275,1009,4647,4520,254,4505,4611,345,4648,4496,230,4435,169,4545,279,5397,1131,4334,4354,88,4266,4454,188
1959,2375,273,1293,2469,367,2778,3060,2418,316,1423,2591,489,2564,462,3086,984,2481,2416,314,2325,2497,395,2385,2314,212,2412,310,2399,297,3362,1260,2399,2360,258,2102,2206,104
2000,2837,218,1385,2698,79,3365,3549,2409,-210,1440,3090,471,3055,436,3488,869,2985,2832,213,2861,2947,328,3030,2845,226,2817,198,2922,303,3737,1118,2732,2767,148,2619,2762,143
1916,1928,267,1286,1898,237,2154,2566,1765,104,1406,2097,436,1933,272,2468,807,2012,2038,377,1969,2009,348,1957,1945,284,1842,181,1962,301,2919,1258,1946,1785,124,1661,1940,279
1901,2149,167,1268,2334,352,2518,2803,2224,242,1282,2229,247,2370,388,2850,868,2183,2142,160,2201,2203,221,2205,2090,108,2081,99,2237,255,3139,1157,2196,2122,140,1982,2048,66
1905,3002,338,1333,2907,243,3517,3648,2679,15,1435,3096,432,3196,532,3658,994,3101,2929,265,2966,3000,336,3091,2980,316,2961,297,2992,328,3911,1247,2910,2754,90,2664,2757,93
1924,2507,200,1271,2598,291,2953,2981,2277,-30,1456,2644,337,2669,362,3260,953,2665,2554,247,2498,2661,354,2569,2535,228,2514,207,2525,218,3329,1022,2554,2514,207,2307,2505,198
1904,2370,522,1278,2357,509,2765,2955,2181,333,1340,2159,311,2185,337,2731,883,2177,2088,240,2102,2124,276,2221,2063,215,2093,245,2061,213,2930,1082,2048,2075,227,1848,1922,74
1969,2936,271,1281,2888,223,3135,3394,2605,-60,1492,2964,299,2956,291,3484,819,2859,2815,150,2822,2925,260,2891,2962,297,2908,243,2939,274,3681,1016,2994,2890,225,2665,2755,90
1968,2234,279,1365,2377,422,2504,2838,2267,312,1376,2268,313,2412,457,2858,903,2242,2271,316,2301,2329,374,2238,2206,251,2109,154,2264,309,3177,1222,2162,2246,291,1955,2122,167
1865,1243,144,1241,1633,534,1653,1918,1465,366,1329,1315,216,1561,462,2015,916,1364,1241,142,1273,1278,179,1335,1213,114,1145,46,1235,136,2227,1128,1245,1189,90,1099,1175,76
2050,1535,309,1319,1665,439,1963,2182,1617,391,1402,1624,398,1877,651,2278,1052,1604,1615,389,1625,1631,405,1601,1512,286,1664,438,1491,265,2364,1138,1648,1533,307,1226,1356,130
1985,2152,214,1352,2310,372,2722,2845,2345,407,1585,2262,324,2458,520,2841,903,2245,2314,376,2215,2274,336,2194,2148,210,2219,281,2341,403,3191,1253,2212,2183,245,1938,2050,112
1980,2668,157,1378,2790,279,3131,3338,2524,13,1475,2790,279,2815,304,3474,963,2796,2651,140,2650,2711,200,2796,2610,99,2729,218,2693,182,3618,1107,2731,2664,153,2511,2665,154
1948,2341,177,1311,2414,250,2730,2872,2114,-50,1438,2499,335,2541,377,3023,859,2465,2469,305,2356,2483,319,2475,2297,133,2311,147,2423,259,3165,1001,2335,2193,29,2164,2186,22
1994,2008,141,1225,2041,174,2470,2618,1926,59,1382,2098,231,2118,251,2751,884,2149,2042,175,2121,2092,225,2108,2092,225,2011,144,2035,168,2930,1063,1961,1894,27,1867,1938,71
